from,to,weight
*O,*OC,2273
*O,*OC,2273
*O,*N,958
*O,*N,958
*O,*CO,301
*O,*CO,301
*O,*OC(C)=O,200
*O,*C(=O)NO,89
*OC,*Cl,3455
*OC,*Cl,3455
*OC,*O,2273
*OC,*O,2273
*OC,*OCC,788
*OC,*N(C)C,491
*OC,*N(C)C,491
*OC,*S(C)(=O)=O,332
*OC,*S(C)(=O)=O,332
*N,*O,958
*N,*O,958
*N,*NC,305
*N,*NC,305
*N,*NC(C)=O,300
*N,*NC(C)=O,300
*N,*CN,138
*N,*CN,138
*N,*NCc1ccccc1,104
*N,*NCc1ccccc1,104
*Cl,*F,4152
*Cl,*F,4152
*Cl,*OC,3455
*Cl,*OC,3455
*Cl,*Br,2208
*Cl,*C(F)(F)F,1750
*Cl,*C(F)(F)F,1750
*Cl,*C#N,1232
*Cl,*C#N,1232
*F,*Cl,4152
*F,*Cl,4152
*F,*B(O)O,60
*F,*SC(F)(F)F,23
*F,*B1OC(C)(C)C(C)(C)O1,19
*F,*C(F)(F)P(=O)(O)O,17
*CC,*C(C)C,816
*CC,*C(C)C,816
*CC,*CCC,763
*CC,*C1CC1,420
*CC,*C1CC1,420
*CC,*CCCC,383
*CC,*CCCC,383
*CC,*C=C,156
*C#N,*Cl,1232
*C#N,*Cl,1232
*C#N,*C(N)=O,339
*C#N,*C(N)=O,339
*C#N,*C=NO,24
*C(=O)O,*Cl,579
*C(=O)O,*Cl,579
*C(=O)O,*C(=O)OC,334
*C(=O)O,*CC(=O)O,201
*C(=O)O,*CC(=O)O,201
*C(=O)O,*C(=O)OCC,175
*C(=O)O,*c1nnn[nH]1,89
*Br,*Cl,2208
*Br,*Cl,2208
*Br,*CNC1CC1c1ccccc1,8
*C(F)(F)F,*Cl,1750
*C(F)(F)F,*Cl,1750
*C(F)(F)F,*C(F)F,65
*C(F)(F)F,*c1nc2cc(C(N)=O)ccc2[nH]1,14
*C(F)(F)F,*Nc1ccccc1C(N)=O,12
*C(C)C,*CC,816
*C(C)C,*CC,816
*C(C)C,*C1CCCCC1,273
*C(C)C,*C1CCCCC1,273
*C(C)C,*CC(C)C,262
*C(C)C,*C(C)CC,85
*Cc1ccccc1,*CCc1ccccc1,346
*Cc1ccccc1,*CCc1ccccc1,346
*Cc1ccccc1,*Cc1ccc(OC)cc1,158
*Cc1ccccc1,*Cc1ccc(F)cc1,148
*Cc1ccccc1,*Cc1ccc(Cl)cc1,124
*Cc1ccccc1,*CC1CCCCC1,121
*c1cccnc1,*c1ccncc1,490
*c1cccnc1,*c1ccncc1,490
*c1cccnc1,*c1ccccn1,359
*c1cccnc1,*c1ccccn1,359
*c1cccnc1,*c1cncnc1,165
*c1cccnc1,*c1cnn(C)c1,89
*c1cccnc1,*c1cnn(C)c1,89
*c1cccnc1,*c1ccc(OC)nc1,78
*c1ccncc1,*c1cccnc1,490
*c1ccncc1,*c1cccnc1,490
*c1ccncc1,*c1ccnc(C)c1,51
*c1ccncc1,*c1ccncn1,48
*c1ccncc1,*c1ccc(C(N)=O)cc1,33
*c1ccncc1,*c1ccnc(OC)c1,27
*CCC,*CC,763
*CCC,*CC,763
*CCC,*CCCCC,172
*N(C)C,*OC,491
*N(C)C,*OC,491
*N(C)C,*N(CC)CC,127
*N(C)C,*NCCOC,43
*OCC,*OC,788
*OCC,*OC,788
*C(N)=O,*C#N,339
*C(N)=O,*C#N,339
*C(N)=O,*C(=O)NC,173
*C(N)=O,*C(=O)NC,173
*C(N)=O,*C(=O)NC1CC1,44
*CO,*O,301
*CO,*O,301
*CO,*C(C)O,75
*CO,*C(C)(C)O,53
*CO,*CNC(C)=O,36
*CO,*COCc1ccccc1,22
*N1CCOCC1,*N1CCCCC1,323
*N1CCOCC1,*N1CCCCC1,323
*N1CCOCC1,*N1CCN(C)CC1,293
*N1CCOCC1,*N1CCN(C)CC1,293
*N1CCOCC1,*N1CCC(O)CC1,70
*N1CCOCC1,*N1CCN(C(C)=O)CC1,59
*N1CCOCC1,*N1CCS(=O)(=O)CC1,46
*[N+](=O)[O-],*Cl,1088
*[N+](=O)[O-],*Cl,1088
*C(C)(C)C,*Cl,382
*C(C)(C)C,*Cl,382
*C(C)(C)C,*C(C)(C)CO,19
*c1ccc(OC)cc1,*c1ccc(F)cc1,356
*c1ccc(OC)cc1,*c1ccc(F)cc1,356
*c1ccc(OC)cc1,*c1cccc(OC)c1,276
*c1ccc(OC)cc1,*c1cccc(OC)c1,276
*c1ccc(OC)cc1,*c1ccccc1OC,204
*c1ccc(OC)cc1,*c1ccc(C(F)(F)F)cc1,181
*c1ccc(OC)cc1,*c1ccc(C(F)(F)F)cc1,181
*c1ccc(OC)cc1,*c1ccc(C#N)cc1,150
*c1ccc(F)cc1,*c1ccc(Cl)cc1,401
*c1ccc(F)cc1,*c1ccc(Cl)cc1,401
*c1ccc(F)cc1,*c1ccc(OC)cc1,356
*c1ccc(F)cc1,*c1ccc(OC)cc1,356
*c1ccc(F)cc1,*c1cccc(F)c1,265
*c1ccc(F)cc1,*c1ccccc1F,230
*c1ccc(F)cc1,*c1ccc(F)c(F)c1,92
*C1CCCCC1,*C(C)C,273
*C1CCCCC1,*C(C)C,273
*C1CCCCC1,*C1CCCC1,245
*C1CCCCC1,*C1CCOCC1,112
*C1CCCCC1,*C1CCOCC1,112
*C1CCCCC1,*C12CC3CC(CC(C3)C1)C2,52
*CC(=O)O,*C(=O)O,201
*CC(=O)O,*C(=O)O,201
*CC(=O)O,*CCC(=O)O,112
*CC(=O)O,*CCC(=O)O,112
*CC(=O)O,*CC(N)=O,69
*CC(=O)O,*CC(=O)OC,41
*CC(=O)O,*C(C)C(=O)O,31
*c1ccccn1,*c1cccnc1,359
*c1ccccn1,*c1cccnc1,359
*c1ccccn1,*c1cnccn1,93
*c1ccccn1,*c1nccs1,92
*c1ccccn1,*c1ncccn1,83
*c1ccccn1,*c1cccc(C)n1,50
*C(=O)OC,*C(=O)O,334
*C(=O)OC,*C(=O)O,334
*CCCC,*CC,383
*CCCC,*CC,383
*CCCC,*CCCCCC,119
*CCCC,*CCC(C)C,60
*CCCC,*CCCCCCCC,52
*NC(C)=O,*N,300
*NC(C)=O,*N,300
*NC(C)=O,*NC(=O)CC,63
*NC(C)=O,*NC(=O)C1CC1,41
*NC(C)=O,*NC(=O)CCC,39
*NC(C)=O,*NC(=O)C(C)C,35
*NC,*N,305
*NC,*N,305
*NC,*NCC,108
*NC,*NC1CC1,40
*C(C)=O,*Cl,202
*C(C)=O,*Cl,202
*C(C)=O,*C(=O)CC,81
*C(C)=O,*C(=O)OC(C)(C)C,42
*C(C)=O,*C(=O)C(F)(F)F,18
*c1ccc(Cl)cc1,*c1ccc(F)cc1,401
*c1ccc(Cl)cc1,*c1ccc(F)cc1,401
*c1ccc(Cl)cc1,*c1ccc(C)cc1,324
*c1ccc(Cl)cc1,*c1ccc(C)cc1,324
*c1ccc(Cl)cc1,*c1cccc(Cl)c1,297
*c1ccc(Cl)cc1,*c1ccccc1Cl,239
*c1ccc(Cl)cc1,*c1ccccc1Cl,239
*c1ccc(Cl)cc1,*c1ccc(Br)cc1,164
*N1CCN(C)CC1,*N1CCOCC1,293
*N1CCN(C)CC1,*N1CCOCC1,293
*N1CCN(C)CC1,*N1CCNCC1,147
*N1CCN(C)CC1,*N1CCN(CC)CC1,69
*N1CCN(C)CC1,*N1CCN(CCO)CC1,50
*N1CCN(C)CC1,*N1CCCN(C)CC1,42
*OCc1ccccc1,*OC,281
*OCc1ccccc1,*OC,281
*OCc1ccccc1,*SCc1ccccc1,17
*CN,*N,138
*CN,*N,138
*CN,*CCN,60
*CN,*C1CCCN1,14
*CN,*C(C)N,12
*CCc1ccccc1,*Cc1ccccc1,346
*CCc1ccccc1,*Cc1ccccc1,346
*CCc1ccccc1,*CCCc1ccccc1,131
*CCc1ccccc1,*C=Cc1ccccc1,59
*CCc1ccccc1,*CCOc1ccccc1,26
*CCc1ccccc1,*C1CC1c1ccccc1,11
*N1CCCCC1,*N1CCOCC1,323
*N1CCCCC1,*N1CCOCC1,323
*N1CCCCC1,*N1CCCC1,260
*N1CCCCC1,*N1CCCC1,260
*N1CCCCC1,*N1CCC(C)CC1,61
*N1CCCCC1,*N1CCC(CO)CC1,23
*c1cccs1,*c1ccco1,227
*c1cccs1,*c1ccco1,227
*c1cccs1,*c1ccsc1,165
*c1cccs1,*c1ccc(Cl)s1,43
*C1CC1,*CC,420
*C1CC1,*CC,420
*C1CC1,*C1CCC1,168
*C1CC1,*C1CCCO1,39
*c1ccc(C)cc1,*c1ccc(Cl)cc1,324
*c1ccc(C)cc1,*c1ccc(Cl)cc1,324
*c1ccc(C)cc1,*c1cccc(C)c1,161
*c1ccc(C)cc1,*c1ccc(C)c(C)c1,25
*Oc1ccccc1,*OC,195
*Oc1ccccc1,*OC,195
*Oc1ccccc1,*Sc1ccccc1,47
*Oc1ccccc1,*Oc1ccc(F)cc1,44
*Oc1ccccc1,*Oc1ccc(Cl)cc1,42
*Oc1ccccc1,*Oc1ccc(OC)cc1,35
*c1ccc(O)cc1,*c1ccc(OC)cc1,121
*c1ccc(O)cc1,*c1ccc(OC)cc1,121
*c1ccc(O)cc1,*c1cccc(O)c1,100
*c1ccc(O)cc1,*c1ccccc1O,58
*c1ccc(O)cc1,*c1c[nH]c2ccccc12,54
*c1ccc(O)cc1,*c1ccc(O)c(O)c1,31
*Nc1ccccc1,*N,101
*Nc1ccccc1,*N,101
*Nc1ccccc1,*Nc1ccc(OC)cc1,49
*Nc1ccccc1,*Nc1ccc(F)cc1,42
*Nc1ccccc1,*Nc1ccc(C)cc1,38
*Nc1ccccc1,*Nc1ccc(Cl)cc1,36
*S(C)(=O)=O,*OC,332
*S(C)(=O)=O,*OC,332
*S(C)(=O)=O,*S(=O)(=O)CC,50
*S(C)(=O)=O,*S(=O)(=O)N(C)C,46
*S(C)(=O)=O,*CS(C)(=O)=O,18
*N1CCNCC1,*N1CCN(C)CC1,147
*N1CCNCC1,*N1CCN(C)CC1,147
*N1CCCC1,*N1CCCCC1,260
*N1CCCC1,*N1CCCCC1,260
*N1CCCC1,*N1CCC1,49
*N1CCCC1,*N1CCc2ccccc2C1,25
*c1cccc(OC)c1,*c1ccc(OC)cc1,276
*c1cccc(OC)c1,*c1ccc(OC)cc1,276
*c1cccc(OC)c1,*c1cccc(C#N)c1,88
*c1cccc(OC)c1,*c1ccccc1C#N,30
*c1cccc(OC)c1,*c1cccc(CO)c1,27
*c1cccc(O)c1,*c1ccc(O)cc1,100
*c1cccc(O)c1,*c1ccc(O)cc1,100
*CN1CCOCC1,*CN1CCCCC1,89
*CN1CCOCC1,*CN1CCN(C)CC1,85
*I,*Cl,522
*I,*Cl,522
*C(=O)OCC,*C(=O)O,175
*C(=O)OCC,*C(=O)O,175
*C(=O)OCC,*C(=O)OCc1ccccc1,30
*S(N)(=O)=O,*OC,250
*S(N)(=O)=O,*OC,250
*NCc1ccccc1,*N,104
*NCc1ccccc1,*N,104
*NCc1ccccc1,*NCCc1ccccc1,62
*NCc1ccccc1,*NC1CCCCC1,46
*NCc1ccccc1,*NCc1ccc(OC)cc1,35
*NCc1ccccc1,*N(C)Cc1ccccc1,32
*C(=O)NC,*C(N)=O,173
*C(=O)NC,*C(N)=O,173
*C(=O)NC,*C(=O)N(C)C,139
*C(=O)NC,*C(=O)NCC,67
*C(=O)NC,*C(=O)NC(C)C,44
*C(=O)NC,*C(=O)NC(C)C,44
*CN(C)C,*OC,96
*CN(C)C,*OC,96
*CN(C)C,*CNC,63
*CN(C)C,*CNCC,25
*CN(C)C,*CNCc1ccccc1,16
*CN(C)C,*CNC(C)C,15
*c1cccc(Cl)c1,*c1ccc(Cl)cc1,297
*c1cccc(Cl)c1,*c1ccc(Cl)cc1,297
*c1cccc(Cl)c1,*c1cc(Cl)cc(Cl)c1,46
*C(=O)N(C)C,*C(=O)NC,139
*C(=O)N(C)C,*C(=O)NC,139
*C(=O)N(C)C,*C(=O)N1CCOCC1,73
*C(=O)N(C)C,*C(=O)N1CCOCC1,73
*SC,*OC,294
*SC,*OC,294
*SC,*SCC,40
*C(=O)c1ccccc1,*Cc1ccccc1,110
*C(=O)c1ccccc1,*Cc1ccccc1,110
*C(=O)c1ccccc1,*S(=O)(=O)c1ccccc1,55
*C(=O)c1ccccc1,*C(=O)c1ccc(F)cc1,47
*C(=O)c1ccccc1,*C(=O)c1ccc(Cl)cc1,38
*C(=O)c1ccccc1,*C(=O)c1ccc(OC)cc1,36
*CN1CCCCC1,*CN1CCOCC1,89
*CN1CCCCC1,*CN1CCCC1,76
*C1CCCC1,*C1CCCCC1,245
*C1CCCC1,*C1CCCCC1,245
*c1ccccc1Cl,*c1ccc(Cl)cc1,239
*c1ccccc1Cl,*c1ccc(Cl)cc1,239
*c1ccccc1Cl,*c1ccccc1C,154
*c1ccccc1Cl,*c1ccccc1C(F)(F)F,54
*c1ccccc1Cl,*c1cccc(Cl)c1Cl,39
*C(=O)NO,*O,89
*C(=O)NO,*O,89
*C(=O)NO,*CC(=O)NO,43
*CCO,*CC,155
*CCO,*CC,155
*CCO,*CCCO,69
*c1cncnc1,*c1cccnc1,165
*c1cncnc1,*c1cccnc1,165
*c1ccco1,*c1cccs1,227
*c1ccco1,*c1cccs1,227
*c1ccco1,*c1ccoc1,101
*c1ccco1,*c1ccc[nH]1,31
*CCN,*CN,60
*CCN,*CN,60
*CCN,*CCCN,57
*c1ccc(C#N)cc1,*c1ccc(OC)cc1,150
*c1ccc(C#N)cc1,*c1ccc(OC)cc1,150
*CCC(=O)O,*CC(=O)O,112
*CCC(=O)O,*CC(=O)O,112
*CCC(=O)O,*CCCC(=O)O,54
*CCC(=O)O,*C=CC(=O)O,32
*c1cccc(C)c1,*c1ccc(C)cc1,161
*c1cccc(C)c1,*c1ccc(C)cc1,161
*c1cccc(F)c1,*c1ccc(F)cc1,265
*c1cccc(F)c1,*c1ccc(F)cc1,265
*c1cccc(F)c1,*c1cc(F)cc(F)c1,58
*CC(C)C,*C(C)C,262
*CC(C)C,*C(C)C,262
*OC(C)C,*OC,319
*OC(C)C,*OC,319
*NS(C)(=O)=O,*OC,159
*NS(C)(=O)=O,*OC,159
*CCCCC,*CCC,172
*CCCCC,*CCCCCCC,74
*c1ccccc1F,*c1ccc(F)cc1,230
*c1ccccc1F,*c1ccc(F)cc1,230
*c1ccccc1F,*c1c(F)cccc1F,45
*C(=O)N1CCOCC1,*C(=O)N(C)C,73
*C(=O)N1CCOCC1,*C(=O)N1CCCCC1,53
*C(=O)N1CCOCC1,*C(=O)N1CCN(C)CC1,53
*C(=O)N1CCOCC1,*C(=O)N1CCCC1,52
*C(=O)N1CCOCC1,*C(=O)N(CC)CC,35
*OC(F)(F)F,*Cl,456
*OC(F)(F)F,*Cl,456
*COC,*CC,142
*COC,*CC,142
*COC,*COCC,49
*NC1CCCCC1,*NCc1ccccc1,46
*NC1CCCCC1,*NCc1ccccc1,46
*NC1CCCCC1,*NC1CCCC1,38
*C=O,*Cl,106
*C=O,*Cl,106
*c1ccccc1OC,*c1ccc(OC)cc1,204
*c1ccccc1OC,*c1ccc(OC)cc1,204
*C(=O)Nc1ccccc1,*C(=O)NCc1ccccc1,58
*C(=O)Nc1ccccc1,*C(=O)NC1CCCCC1,38
*C(=O)Nc1ccccc1,*C(=O)Nc1ccc(F)cc1,28
*C(=O)Nc1ccccc1,*C(=O)Nc1ccc(Cl)cc1,23
*OCCCC,*OC,120
*OCCCC,*OC,120
*c1cnccn1,*c1ccccn1,93
*c1cnccn1,*c1ccccn1,93
*c1ccc2ccccc2c1,*c1cccc2ccccc12,180
*c1ccc2ccccc2c1,*c1cccc2ccccc12,180
*c1ccc2ccccc2c1,*c1ccc(-c2ccccc2)cc1,65
*c1ccc2ccccc2c1,*c1cc2ccccc2s1,43
*c1ccc2ccccc2c1,*c1cc2ccccc2s1,43
*c1ccc2ccccc2c1,*c1csc2ccccc12,34
*c1ccc2ccccc2c1,*c1ccc2ncccc2c1,26
*c1cccc2ccccc12,*c1ccc2ccccc2c1,180
*c1cccc2ccccc12,*c1ccc2ccccc2c1,180
*c1cccc2ccccc12,*c1cccc2cccnc12,31
*c1cccc2ccccc12,*c1cccc2ncccc12,20
*c1cccc(C#N)c1,*c1cccc(OC)c1,88
*c1cccc(C#N)c1,*c1cccc(OC)c1,88
*c1cccc(C#N)c1,*c1cccc(C(C)=O)c1,25
*OCCC,*OC,180
*OCCC,*OC,180
*NC(=O)c1ccccc1,*N,84
*NC(=O)c1ccccc1,*N,84
*NC(=O)c1ccccc1,*NC(=O)Cc1ccccc1,39
*NC(=O)c1ccccc1,*NC(=O)c1ccc(OC)cc1,31
*NC(=O)c1ccccc1,*NC(=O)Nc1ccccc1,28
*NC(=O)c1ccccc1,*NC(=O)c1cccnc1,26
*c1cnn(C)c1,*c1cccnc1,89
*c1cnn(C)c1,*c1cccnc1,89
*c1cnn(C)c1,*c1cn[nH]c1,72
*c1cnn(C)c1,*c1ccnn1C,37
*C(=O)NCc1ccccc1,*C(=O)Nc1ccccc1,58
*C(=O)NCc1ccccc1,*C(=O)Nc1ccccc1,58
*C(=O)NCc1ccccc1,*C(=O)NCCc1ccccc1,40
*n1ccnc1,*Cl,65
*n1ccnc1,*Cl,65
*n1ccnc1,*n1cncn1,33
*n1ccnc1,*n1ccnc1C,18
*NC(C)C,*N,69
*NC(C)C,*N,69
*NC(C)C,*NC(C)(C)C,27
*NC(C)C,*NCC1CC1,25
*c1ccc2c(c1)OCO2,*c1ccc(OC)cc1,87
*c1ccc2c(c1)OCO2,*c1ccc(OC)cc1,87
*c1ccc2c(c1)OCO2,*c1ccc2c(c1)OCCO2,62
*CN1CCCC1,*CN1CCCCC1,76
*CN1CCCC1,*CN(CC)CC,52
*CC1CCCCC1,*Cc1ccccc1,121
*CC1CCCCC1,*Cc1ccccc1,121
*C#C,*Cl,108
*C#C,*Cl,108
*c1ccc(OC)nc1,*c1cccnc1,78
*c1ccc(OC)nc1,*c1cccnc1,78
*c1ccc(OC)nc1,*c1ccc(OC(C)C)nc1,6
*C1CCNCC1,*C1CCN(C)CC1,59
*C1CCNCC1,*C1CCNC1,23
*C1CCNCC1,*C1=CCNCC1,13
*CCN(C)C,*CC,54
*CCN(C)C,*CC,54
*CCN(C)C,*CCCN(C)C,37
*CCN(C)C,*CCNC,26
*c1nccs1,*c1ccccn1,92
*c1nccs1,*c1ccccn1,92
*c1ccc(Br)cc1,*c1ccc(Cl)cc1,164
*c1ccc(Br)cc1,*c1ccc(Cl)cc1,164
*Cc1ccncc1,*Cc1ccccc1,95
*Cc1ccncc1,*Cc1ccccc1,95
*OCCOC,*OC,120
*OCCOC,*OC,120
*CCCCCC,*CCCC,119
*CCCCCC,*CCCC,119
*C1CCOCC1,*C1CCCCC1,112
*C1CCOCC1,*C1CCCCC1,112
*C1CCOCC1,*C1CCOC1,50
*C1CCOCC1,*C1CCN(C(C)=O)CC1,27
*c1ncccn1,*c1ccccn1,83
*c1ncccn1,*c1ccccn1,83
*NCC,*NC,108
*NCC,*NC,108
*c1cn[nH]c1,*c1cnn(C)c1,72
*c1cn[nH]c1,*c1cnn(C)c1,72
*c1ccoc1,*c1ccco1,101
*c1ccoc1,*c1ccco1,101
*Cn1ccnc1,*O,59
*Cn1ccnc1,*O,59
*c1ccc(C(=O)O)cc1,*c1cccc(C(=O)O)c1,63
*c1ccsc1,*c1cccs1,165
*c1ccsc1,*c1cccs1,165
*B(O)O,*F,60
*B(O)O,*F,60
*OCC(=O)O,*OC,117
*OCC(=O)O,*OC,117
*C=C,*CC,156
*C=C,*CC,156
*C(=O)N1CCCCC1,*C(=O)N1CCOCC1,53
*C(=O)N1CCCCC1,*C(=O)N1CCOCC1,53
*C=Cc1ccccc1,*CCc1ccccc1,59
*C=Cc1ccccc1,*CCc1ccccc1,59
*Cc1ccc(F)cc1,*Cc1ccccc1,148
*Cc1ccc(F)cc1,*Cc1ccccc1,148
*OCCO,*OC,101
*OCCO,*OC,101
*OCCN(C)C,*OC,77
*OCCN(C)C,*OC,77
*c1ccc(N)cc1,*c1ccc(OC)cc1,62
*c1ccc(N)cc1,*c1ccc(OC)cc1,62
*c1ccccc1C,*c1ccccc1Cl,154
*c1ccccc1C,*c1ccccc1Cl,154
*c1ccc(C(F)(F)F)cc1,*c1ccc(OC)cc1,181
*c1ccc(C(F)(F)F)cc1,*c1ccc(OC)cc1,181
*c1ccc(C(F)(F)F)cc1,*c1cccc(C(F)(F)F)c1,124
*c1ccc(C(F)(F)F)cc1,*c1ccc(OC(F)(F)F)cc1,73
*c1ccc(C(F)(F)F)cc1,*c1ccc(C(C)(C)C)cc1,49
*c1ccc(C(F)(F)F)cc1,*c1ccc(C(F)(F)F)nc1,33
*N(CC)CC,*N(C)C,127
*N(CC)CC,*N(C)C,127
*C(=O)NC1CCCCC1,*C(=O)Nc1ccccc1,38
*C(=O)NC1CCCCC1,*C(=O)Nc1ccccc1,38
*C(=O)NC1CCCCC1,*C(=O)NC1CCCC1,26
*c1nc2ccccc2s1,*c1nc2ccccc2o1,52
*c1nc2ccccc2s1,*c1nc2ccccc2[nH]1,32
*CC1CC1,*CC,117
*CC1CC1,*CC,117
*C1CCN(C)CC1,*C1CCNCC1,59
*C1CCN(C)CC1,*C1CCNCC1,59
*c1cccc(C(F)(F)F)c1,*c1ccc(C(F)(F)F)cc1,124
*c1cccc(C(F)(F)F)c1,*c1ccc(C(F)(F)F)cc1,124
*c1cccc(C(F)(F)F)c1,*c1cccc(OC(F)(F)F)c1,44
*CN(CC)CC,*CN1CCCC1,52
*c1nc2ccccc2[nH]1,*c1nc2ccccc2s1,32
*C(=O)NC(C)C,*C(=O)NC,44
*C(=O)NC(C)C,*C(=O)NC,44
*C(=O)NC(C)C,*C(=O)NCCC,31
*C(=O)NC(C)C,*C(=O)NC(C)(C)C,27
*NCCO,*N,63
*NCCO,*N,63
*NCCO,*NCCCO,29
*C(=O)NCCO,*C(=O)O,33
*C(=O)NCCO,*C(=O)O,33
*c1ccc2c(c1)OCCO2,*c1ccc2c(c1)OCO2,62
*c1cc2ccccc2s1,*c1ccc2ccccc2c1,43
*c1cc2ccccc2s1,*c1ccc2ccccc2c1,43
*c1cc2ccccc2s1,*c1cc2ccccc2o1,39
*c1cc2ccccc2s1,*c1cc2ccccc2[nH]1,19
*CCCc1ccccc1,*CCc1ccccc1,131
*CCCc1ccccc1,*CCc1ccccc1,131
*C(=O)N1CCCC1,*C(=O)N1CCOCC1,52
*C(=O)N1CCCC1,*C(=O)N1CCOCC1,52
*CN1CCN(C)CC1,*CN1CCOCC1,85
*CN1CCN(C)CC1,*CN1CCNCC1,25
*c1cccc(C(=O)O)c1,*c1ccc(C(=O)O)cc1,63
*C(=O)NCC,*C(=O)NC,67
*C(=O)NCC,*C(=O)NC,67
*OCCN1CCOCC1,*OC,68
*OCCN1CCOCC1,*OC,68
*CCN1CCOCC1,*CCN1CCCCC1,43
*c1c[nH]c2ccccc12,*c1ccc(O)cc1,54
*c1c[nH]c2ccccc12,*c1ccc(O)cc1,54
*c1cnc2ccccc2c1,*c1cccnc1,36
*c1cnc2ccccc2c1,*c1cccnc1,36
*OCCCN(C)C,*OC,51
*OCCCN(C)C,*OC,51
*Cc1cccnc1,*Cc1ccccc1,112
*Cc1cccnc1,*Cc1ccccc1,112
*c1ccccc1O,*c1ccc(O)cc1,58
*c1ccccc1O,*c1ccc(O)cc1,58
*C1CCC1,*C1CC1,168
*C1CCC1,*C1CC1,168
*C(=N)N,*OC,100
*C(=N)N,*OC,100
*c1cc2ccccc2o1,*c1cc2ccccc2s1,39
*c1cc2ccccc2o1,*c1cc2ccccc2s1,39
*Cc1ccc(OC)cc1,*Cc1ccccc1,158
*Cc1ccc(OC)cc1,*Cc1ccccc1,158
*Cc1ccccn1,*Cc1ccccc1,105
