from,to,weight
*Cc1ccccn1,*Cc1ccccc1,105
*CC#N,*CC,49
*CC#N,*CC,49
*c1ccc(Cl)c(Cl)c1,*c1ccc(Cl)cc1,121
*c1ccc(Cl)c(Cl)c1,*c1ccc(Cl)cc1,121
*c1ccc(N(C)C)cc1,*c1ccc(OC)cc1,62
*c1ccc(N(C)C)cc1,*c1ccc(OC)cc1,62
*S(=O)(=O)c1ccccc1,*C(=O)c1ccccc1,55
*S(=O)(=O)c1ccccc1,*C(=O)c1ccccc1,55
*S(=O)(=O)c1ccccc1,*S(=O)(=O)c1ccc(Cl)cc1,31
*CNC(C)=O,*CO,36
*CNC(C)=O,*CO,36
*S,*O,77
*S,*O,77
*NCCc1ccccc1,*NCc1ccccc1,62
*NCCc1ccccc1,*NCc1ccccc1,62
*OCCN1CCCC1,*OC,51
*OCCN1CCCC1,*OC,51
*CCOC,*CC,110
*CCOC,*CC,110
*CCOC,*CC1CCCO1,23
*c1ccc(OC)c(OC)c1,*c1ccc(OC)cc1,103
*c1ccc(OC)c(OC)c1,*c1ccc(OC)cc1,103
*C(C)O,*CO,75
*C(C)O,*CO,75
*c1ccc([N+](=O)[O-])cc1,*c1ccc(OC)cc1,134
*c1ccc([N+](=O)[O-])cc1,*c1ccc(OC)cc1,134
*c1cccc([N+](=O)[O-])c1,*c1ccc(Cl)cc1,74
*c1cccc([N+](=O)[O-])c1,*c1ccc(Cl)cc1,74
*C#Cc1ccccc1,*Cl,37
*C#Cc1ccccc1,*Cl,37
*C(=O)Nc1cccnc1,*O,27
*C(=O)Nc1cccnc1,*O,27
*C(=O)Nc1cccnc1,*C(=O)Nc1ccncc1,20
*OCCN1CCCCC1,*OC,38
*OCCN1CCCCC1,*OC,38
*CNC,*CN(C)C,63
*CNC,*CN(C)C,63
*c1ccc(S(N)(=O)=O)cc1,*c1ccc(F)cc1,27
*c1ccc(S(N)(=O)=O)cc1,*c1ccc(F)cc1,27
*CCN1CCCC1,*CCN1CCCCC1,50
*CCN1CCCC1,*CCN(CC)CC,25
*c1cc[nH]n1,*c1cccnc1,47
*c1cc[nH]n1,*c1cccnc1,47
*OCCCN1CCCCC1,*OC,48
*OCCCN1CCCCC1,*OC,48
*OCCCN1CCCCC1,*OCCCN1CCCC1,31
*C(=O)N(CC)CC,*C(=O)N1CCOCC1,35
*C(=O)N(CC)CC,*C(=O)N1CCOCC1,35
*c1ccc(C(C)=O)cc1,*c1ccc(OC)cc1,40
*c1ccc(C(C)=O)cc1,*c1ccc(OC)cc1,40
*c1nc2ccccc2o1,*c1nc2ccccc2s1,52
*C(=O)N1CCN(C)CC1,*C(=O)N1CCOCC1,53
*C(=O)N1CCN(C)CC1,*C(=O)N1CCOCC1,53
*n1cccn1,*Cl,44
*n1cccn1,*Cl,44
*Sc1ccccc1,*Oc1ccccc1,47
*Sc1ccccc1,*Oc1ccccc1,47
*NS(N)(=O)=O,*O,27
*NS(N)(=O)=O,*O,27
*Nc1ccc(OC)cc1,*Nc1ccccc1,49
*Nc1ccc(OC)cc1,*Nc1ccccc1,49
*Cc1ccc(Cl)cc1,*Cc1ccccc1,124
*Cc1ccc(Cl)cc1,*Cc1ccccc1,124
*CCCN,*CCN,57
*NS(=O)(=O)c1ccccc1,*O,36
*NS(=O)(=O)c1ccccc1,*O,36
*NS(=O)(=O)c1ccccc1,*NS(=O)(=O)c1ccc(C)cc1,22
*c1ccc(OCC)cc1,*c1ccc(OC)cc1,44
*c1ccc(OCC)cc1,*c1ccc(OC)cc1,44
*C=C1SC(=S)NC1=O,*O,23
*C=C1SC(=S)NC1=O,*O,23
*c1ccc2[nH]ccc2c1,*c1cccnc1,28
*c1ccc2[nH]ccc2c1,*c1cccnc1,28
*c1ccc2[nH]ccc2c1,*c1ccc2cc[nH]c2c1,21
*c1ccc2[nH]ccc2c1,*c1cccc2[nH]ccc12,18
*NCCC,*N,49
*NCCC,*N,49
*OCCN,*OC,33
*OCCN,*OC,33
*c1ccc(C(N)=O)cc1,*c1ccncc1,33
*c1ccc(C(N)=O)cc1,*c1ccncc1,33
*C(C)(C)O,*CO,53
*C(C)(C)O,*CO,53
*c1ccc(F)cc1F,*c1ccc(F)cc1,82
*c1ccc(F)cc1F,*c1ccc(F)cc1,82
*c1ccc(OC(F)(F)F)cc1,*c1ccc(C(F)(F)F)cc1,73
*c1ccc(OC(F)(F)F)cc1,*c1ccc(C(F)(F)F)cc1,73
*CCCCCCC,*CCCCC,74
*c1ccc(N)nc1,*c1cccnc1,37
*c1ccc(N)nc1,*c1cccnc1,37
*c1ccc(N)nc1,*c1cnc(N)nc1,21
*CCN1CCCCC1,*CCN1CCCC1,50
*CCN1CCCCC1,*CCN1CCOCC1,43
*C(=O)NN,*C(=O)O,21
*C(=O)NN,*C(=O)O,21
*c1ccc(Cl)s1,*c1cccs1,43
*c1ccc(Cl)s1,*c1cccs1,43
*N1CCC(O)CC1,*N1CCOCC1,70
*N1CCC(O)CC1,*N1CCOCC1,70
*c1cccc(C(C)=O)c1,*c1cccc(C#N)c1,25
*c1cccc(C)n1,*c1ccccn1,50
*c1cccc(C)n1,*c1ccccn1,50
*c1cccc(C)n1,*c1cccc(C(F)(F)F)n1,13
*c1csc(C)n1,*c1ccccn1,27
*c1csc(C)n1,*c1ccccn1,27
*C(=O)NC1CC1,*C(N)=O,44
*C(=O)NC1CC1,*C(N)=O,44
*C(=O)NC1CC1,*C(=O)NCC1CC1,21
*OCC=C,*OC,71
*OCC=C,*OC,71
*Nc1ccccn1,*N,24
*Nc1ccccn1,*N,24
*NC1CCCC1,*NC1CCCCC1,38
*NC(N)=O,*N,40
*NC(N)=O,*N,40
*CC=C,*CC,109
*CC=C,*CC,109
*c1ccc(S(C)(=O)=O)cc1,*c1ccc(OC)cc1,47
*c1ccc(S(C)(=O)=O)cc1,*c1ccc(OC)cc1,47
*OC(F)F,*OC,125
*OC(F)F,*OC,125
*NC(=O)Cc1ccccc1,*NC(=O)c1ccccc1,39
*NC(=O)Cc1ccccc1,*NC(=O)c1ccccc1,39
*C(=O)c1ccc(F)cc1,*C(=O)c1ccccc1,47
*C(=O)c1ccc(F)cc1,*C(=O)c1ccccc1,47
*C(=O)NCCC,*C(=O)NC(C)C,31
*C(=O)NCCC,*C(=O)NC(C)C,31
*C(=O)NCCC,*C(=O)NCCCC,22
*C(=O)NC(C)(C)C,*C(=O)NC(C)C,27
*C(=O)NC(C)(C)C,*C(=O)NC(C)C,27
*c1nnn[nH]1,*C(=O)O,89
*c1nnn[nH]1,*C(=O)O,89
*CCCO,*CCO,69
*c1ccnc(C)c1,*c1ccncc1,51
*c1ccnc(C)c1,*c1ccncc1,51
*N1CCC(O)C1,*N1CCOCC1,43
*N1CCC(O)C1,*N1CCOCC1,43
*c1ccc(-c2ccccc2)cc1,*c1ccc2ccccc2c1,65
*c1ccc(-c2ccccc2)cc1,*c1ccc2ccccc2c1,65
*c1ccc(-c2ccccc2)cc1,*c1cccc(-c2ccccc2)c1,28
*NC1CC1,*NC,40
*NC1CC1,*NC,40
*C=NO,*C#N,24
*C=NO,*C#N,24
*NC(=O)c1ccco1,*N,27
*NC(=O)c1ccco1,*N,27
*OCCCN1CCOCC1,*OC,36
*OCCCN1CCOCC1,*OC,36
*c1ccc(CC)cc1,*c1ccc(OC)cc1,63
*c1ccc(CC)cc1,*c1ccc(OC)cc1,63
*NC(=O)CC,*NC(C)=O,63
*NC(=O)CC,*NC(C)=O,63
*c1cccc(OC)n1,*c1ccccn1,18
*c1cccc(OC)n1,*c1ccccn1,18
*N1CCN(CCO)CC1,*N1CCN(C)CC1,50
*N1CCN(CCO)CC1,*N1CCN(C)CC1,50
*NCc1cccnc1,*NCc1ccncc1,29
*C=CC(=O)NO,*OC,59
*C=CC(=O)NO,*OC,59
*C(=O)NCCOC,*C(=O)O,24
*C(=O)NCCOC,*C(=O)O,24
*c1ccncn1,*c1ccncc1,48
*c1ccncn1,*c1ccncc1,48
*Cc1cccs1,*Cc1ccccc1,60
*Cc1cccs1,*Cc1ccccc1,60
*c1ccc(C(C)(C)C)cc1,*c1ccc(C(F)(F)F)cc1,49
*c1ccc(C(C)(C)C)cc1,*c1ccc(C(F)(F)F)cc1,49
*c1cccc(Br)c1,*c1ccc(Cl)cc1,60
*c1cccc(Br)c1,*c1ccc(Cl)cc1,60
*NC(=O)C1CCCCC1,*N,30
*NC(=O)C1CCCCC1,*N,30
*Oc1ccc(F)cc1,*Oc1ccccc1,44
*Oc1ccc(F)cc1,*Oc1ccccc1,44
*C#Cc1ccccn1,*Cl,20
*C#Cc1ccccn1,*Cl,20
*C#Cc1ccccn1,*C#Cc1cccnc1,18
*CN1CCNCC1,*CN1CCN(C)CC1,25
*NCc1ccc(OC)cc1,*NCc1ccccc1,35
*NCc1ccc(OC)cc1,*NCc1ccccc1,35
*c1ncccc1C,*c1ccccn1,36
*c1ncccc1C,*c1ccccn1,36
*c1ncccc1C,*c1ncccc1C(F)(F)F,12
*CCCC(=O)O,*CCC(=O)O,54
*CCCC(=O)O,*CCC(=O)O,54
*N1CCN(C(C)=O)CC1,*N1CCOCC1,59
*N1CCN(C(C)=O)CC1,*N1CCOCC1,59
*c1c(C)noc1C,*Cl,42
*c1c(C)noc1C,*Cl,42
*n1ccnc1C,*n1ccnc1,18
*n1ccnc1C,*n1ccnc1,18
*N1CCN(CC)CC1,*N1CCN(C)CC1,69
*N1CCN(CC)CC1,*N1CCN(C)CC1,69
*C12CC3CC(CC(C3)C1)C2,*C1CCCCC1,52
*C12CC3CC(CC(C3)C1)C2,*C1CCCCC1,52
*C(C)C(=O)O,*CC(=O)O,31
*C(C)C(=O)O,*CC(=O)O,31
*c1cc(F)cc(F)c1,*c1cccc(F)c1,58
*Cc1cccc(Cl)c1,*Cc1ccccc1,75
*Cc1cccc(Cl)c1,*Cc1ccccc1,75
*c1ccc(F)c(F)c1,*c1ccc(F)cc1,92
*c1ccc(F)c(F)c1,*c1ccc(F)cc1,92
*NC(=O)Nc1ccccc1,*NC(=O)c1ccccc1,28
*NC(=O)Nc1ccccc1,*NC(=O)c1ccccc1,28
*NC(=O)Nc1ccccc1,*NC(=O)Nc1ccc(Cl)cc1,13
*OC(C)(C)C,*OC,33
*OC(C)(C)C,*OC,33
*Cc1ccccc1Cl,*Cc1ccccc1,81
*Cc1ccccc1Cl,*Cc1ccccc1,81
*c1cccnc1OC,*c1ccncc1,23
*c1cccnc1OC,*c1ccncc1,23
*c1ccccc1C(F)(F)F,*c1ccccc1Cl,54
*c1ccccc1C(F)(F)F,*c1ccccc1Cl,54
*C(=O)NCCc1ccccc1,*C(=O)NCc1ccccc1,40
*NC(=O)c1ccncc1,*NC(=O)c1cccnc1,24
*NC(=O)c1ccncc1,*NC(=O)c1ccccn1,19
*OC1CCNCC1,*OC,24
*OC1CCNCC1,*OC,24
*CNC1CCCC1,*C(=O)O,11
*CNC1CCCC1,*C(=O)O,11
*NCCOC,*N(C)C,43
*NCCOC,*N(C)C,43
*C(=O)CC,*C(C)=O,81
*C(=O)CC,*C(C)=O,81
*c1ccnn1C,*c1cnn(C)c1,37
*c1ccnn1C,*c1cnn(C)c1,37
*C(=O)Nc1ccc(Cl)cc1,*C(=O)Nc1ccccc1,23
*C(=O)Nc1ccc(Cl)cc1,*C(=O)Nc1ccccc1,23
*OC(C)=O,*O,200
*OC(C)=O,*O,200
*c1ccc(Cl)nc1,*c1cccnc1,24
*c1ccc(Cl)nc1,*c1cccnc1,24
*CCCN(C)C,*CCN(C)C,37
*CCCN(C)C,*CCN(C)C,37
*C=C1SC(=O)NC1=O,*Cl,26
*C=C1SC(=O)NC1=O,*Cl,26
*c1ccc2ccccc2n1,*c1ccccn1,27
*c1ccc2ccccc2n1,*c1ccccn1,27
*c1cncc(OC)c1,*c1cccnc1,42
*c1cncc(OC)c1,*c1cccnc1,42
*c1ncccc1C(F)(F)F,*c1ncccc1C,12
*NS(=O)(=O)c1ccc(C)cc1,*NS(=O)(=O)c1ccccc1,22
*OCCc1ccccc1,*OC,45
*OCCc1ccccc1,*OC,45
*C(=O)NC1CCCC1,*C(=O)NC1CCCCC1,26
*c1ccc2[nH]ncc2c1,*c1ccc2cn[nH]c2c1,21
*OC1CCCC1,*OC,64
*OC1CCCC1,*OC,64
*c1cccc(CO)c1,*c1cccc(OC)c1,27
*c1cccc(CO)c1,*c1cccc(OC)c1,27
*c1cccc(CO)c1,*c1ccc(CO)cc1,26
*COc1ccccc1,*Cc1ccccc1,35
*COc1ccccc1,*Cc1ccccc1,35
*NC(=O)c1cccnc1,*NC(=O)c1ccccc1,26
*NC(=O)c1cccnc1,*NC(=O)c1ccccc1,26
*NC(=O)c1cccnc1,*NC(=O)c1ccncc1,24
*CCC(C)C,*CCCC,60
*CCC(C)C,*CCCC,60
*S(=O)(=O)CC,*S(C)(=O)=O,50
*S(=O)(=O)CC,*S(C)(=O)=O,50
*NC(=O)OC(C)(C)C,*N,44
*NC(=O)OC(C)(C)C,*N,44
*OCC1CCCO1,*OC,15
*OCC1CCCO1,*OC,15
*c1ccc(C)nc1,*c1cccnc1,39
*c1ccc(C)nc1,*c1cccnc1,39
*c1cc2ccccc2[nH]1,*c1cc2ccccc2s1,19
*c1cc2ccccc2[nH]1,*c1cc2ccccc2s1,19
*CC(=O)N(C)C,*CC(=O)NC,25
*N1CCN(c2ccccc2)CC1,*N1CCOCC1,22
*N1CCN(c2ccccc2)CC1,*N1CCOCC1,22
*C(C)(C)CO,*C(C)(C)C,19
*CCNC,*CCN(C)C,26
*CCNC,*CCN(C)C,26
*c1ccc(Cl)cc1Cl,*c1ccc(Cl)cc1,84
*c1ccc(Cl)cc1Cl,*c1ccc(Cl)cc1,84
*C(=O)OC(C)(C)C,*C(C)=O,42
*C(=O)OC(C)(C)C,*C(C)=O,42
*C1CCNC1,*C1CCNCC1,23
*C1CCNC1,*C1CCNCC1,23
*C(=O)c1cccs1,*C(=O)c1ccccc1,30
*C(=O)c1cccs1,*C(=O)c1ccccc1,30
*N1CCCN(C)CC1,*N1CCN(C)CC1,42
*N1CCCN(C)CC1,*N1CCN(C)CC1,42
*c1ccc(NC(C)=O)cc1,*c1ccc(OC)cc1,26
*c1ccc(NC(C)=O)cc1,*c1ccc(OC)cc1,26
*CCCCCCCC,*CCCC,52
*CCCCCCCC,*CCCC,52
*Cc1ccccc1OC,*Cc1ccccc1,56
*Cc1ccccc1OC,*Cc1ccccc1,56
*N1C(=O)C=CC1=O,*Cl,26
*N1C(=O)C=CC1=O,*Cl,26
*OS(N)(=O)=O,*O,49
*OS(N)(=O)=O,*O,49
*CN1C(=O)c2ccccc2C1=O,*N1C(=O)c2ccccc2C1=O,12
*C(F)(F)P(=O)(O)O,*F,17
*C(F)(F)P(=O)(O)O,*F,17
*c1ccnc(OC)c1,*c1ccncc1,27
*c1ccnc(OC)c1,*c1ccncc1,27
*c1ccnc(N)n1,*c1ccncc1,20
*c1ccnc(N)n1,*c1ccncc1,20
*c1nc2cc(C(N)=O)ccc2[nH]1,*C(F)(F)F,14
*c1nc2cc(C(N)=O)ccc2[nH]1,*C(F)(F)F,14
*c1nccn1C,*c1ccccn1,30
*c1nccn1C,*c1ccccn1,30
*NC(C)(C)C,*NC(C)C,27
*NC(C)(C)C,*NC(C)C,27
*C(=O)Nc1ccc(F)cc1,*C(=O)Nc1ccccc1,28
*C(=O)Nc1ccc(F)cc1,*C(=O)Nc1ccccc1,28
*c1cnco1,*OC,30
*c1cnco1,*OC,30
*OCc1cccnc1,*OCc1ccccn1,36
*OCc1cccnc1,*OCc1ccncc1,30
*CC(=O)NC,*CC(N)=O,26
*CC(=O)NC,*CC(=O)N(C)C,25
*Oc1cccnc1,*OC,33
*Oc1cccnc1,*OC,33
*NC(=O)c1ccccn1,*NC(=O)c1ccncc1,19
*CS,*N,27
*CS,*N,27
*OCC1CC1,*OC,64
*OCC1CC1,*OC,64
*OCC(C)C,*OC,68
*OCC(C)C,*OC,68
*NC(=O)OCC,*N,19
*NC(=O)OCC,*N,19
*OCCN(CC)CC,*OC,33
*OCCN(CC)CC,*OC,33
*c1ccc(O)c(O)c1,*c1ccc(O)cc1,31
*c1ccc(O)c(O)c1,*c1ccc(O)cc1,31
*NC(=O)C=C,*OC,51
*NC(=O)C=C,*OC,51
*N1CCC1,*N1CCCC1,49
*N1CCC1,*N1CCCC1,49
*Cc1ccc(C)cc1,*Cc1ccccc1,87
*Cc1ccc(C)cc1,*Cc1ccccc1,87
*OC1CCN(C)CC1,*OC,23
*OC1CCN(C)CC1,*OC,23
*c1ccc(CO)cc1,*c1cccc(CO)c1,26
*S(=O)(=O)N1CCOCC1,*OC,35
*S(=O)(=O)N1CCOCC1,*OC,35
*Cc1c[nH]cn1,*O,29
*Cc1c[nH]cn1,*O,29
*C(=O)Nc1ccncc1,*C(=O)Nc1cccnc1,20
*Oc1ccc(OC)cc1,*Oc1ccccc1,35
*Oc1ccc(OC)cc1,*Oc1ccccc1,35
*CF,*CC,46
*CF,*CC,46
*CNC(=O)c1ccccc1,*OC,11
*CNC(=O)c1ccccc1,*OC,11
*Nc1cccnc1,*N,20
*Nc1cccnc1,*N,20
*Nc1cccnc1,*Nc1ccncc1,17
*NCc1ccncc1,*NCc1cccnc1,29
*c1ncc[nH]1,*c1ccccn1,23
*c1ncc[nH]1,*c1ccccn1,23
*Oc1cccc(Cl)c1,*Oc1ccc(Cl)cc1,24
*NC(=O)NCC,*N,29
*NC(=O)NCC,*N,29
*c1ccc(C(=O)OC)cc1,*c1ccc(OC)cc1,29
*c1ccc(C(=O)OC)cc1,*c1ccc(OC)cc1,29
*CC(N)=O,*CC(=O)O,69
*CC(N)=O,*CC(=O)O,69
*CC(N)=O,*CC(=O)NC,26
*c1cccc(C(N)=O)c1,*c1cccnc1,30
*c1cccc(C(N)=O)c1,*c1cccnc1,30
*NC(P(=O)(O)O)P(=O)(O)O,*Cl,16
*NC(P(=O)(O)O)P(=O)(O)O,*Cl,16
*Nc1ccncc1,*Nc1cccnc1,17
*n1cccc1,*OC,29
*n1cccc1,*OC,29
*CNC1CC1c1ccccc1,*Br,8
*Cn1nc(OC)oc1=O,*O,11
*Cn1nc(OC)oc1=O,*O,11
*CS(C)(=O)=O,*S(C)(=O)=O,18
*CS(C)(=O)=O,*S(C)(=O)=O,18
*C1CCN(C(C)=O)CC1,*C1CCOCC1,27
*C1CCN(C(C)=O)CC1,*C1CCOCC1,27
*CC(=O)OC,*CC(=O)O,41
*CC(=O)OC,*CC(=O)O,41
*c1cccc(-c2ccccc2)c1,*c1ccc(-c2ccccc2)cc1,28
*c1cccc(N)c1,*c1cccnc1,40
*c1cccc(N)c1,*c1cccnc1,40
*Oc1ccc(Cl)cc1,*Oc1ccccc1,42
*Oc1ccc(Cl)cc1,*Oc1ccccc1,42
*Oc1ccc(Cl)cc1,*Oc1cccc(Cl)c1,24
*NCCN,*N,34
*NCCN,*N,34
*N1CCC(C)CC1,*N1CCCCC1,61
*N1CCC(C)CC1,*N1CCCCC1,61
*c1ccc(C(F)(F)F)cn1,*c1ccc(C(F)(F)F)cc1,21
*c1ccc(C(F)(F)F)cn1,*c1ccc(C(F)(F)F)cc1,21
*C(=O)OCc1ccccc1,*C(=O)OCC,30
*S(=O)(=O)N(C)C,*S(C)(=O)=O,46
*S(=O)(=O)N(C)C,*S(C)(=O)=O,46
*C(=O)c1ccc(OC)cc1,*C(=O)c1ccccc1,36
*C(=O)c1ccc(OC)cc1,*C(=O)c1ccccc1,36
*CC(=O)NO,*C(=O)NO,43
*CC(=O)NO,*CCC(=O)NO,36
*n1cncn1,*n1ccnc1,33
*n1cncn1,*n1ccnc1,33
*OCCF,*OC,92
*OCCF,*OC,92
*Nc1ccccc1C(N)=O,*C(F)(F)F,12
*Nc1ccccc1C(N)=O,*C(F)(F)F,12
*CCC(=O)NO,*CC(=O)NO,36
*CCC(=O)NO,*CCCCC(=O)NO,18
*c1nn[nH]n1,*C(=O)O,59
*c1nn[nH]n1,*C(=O)O,59
*OCC#C,*OC,31
*OCC#C,*OC,31
*N1CCC(CO)CC1,*N1CCCCC1,23
*N1CCC(CO)CC1,*N1CCCCC1,23
*C#Cc1cccnc1,*C#Cc1ccccn1,18
*C(=O)c1ccc(Cl)cc1,*C(=O)c1ccccc1,38
*C(=O)c1ccc(Cl)cc1,*C(=O)c1ccccc1,38
*CP(=O)(O)O,*OC,17
*CP(=O)(O)O,*OC,17
*NC(=O)C(C)C,*NC(C)=O,35
*NC(=O)C(C)C,*NC(C)=O,35
*NCC1CC1,*NC(C)C,25
*NCC1CC1,*NC(C)C,25
*N1CCC(N(C)C)C1,*N1CCN(C)CC1,30
*N1CCC(N(C)C)C1,*N1CCN(C)CC1,30
*c1ccn(C)n1,*c1cccnc1,29
*c1ccn(C)n1,*c1cccnc1,29
*C1COC(N)=N1,*O,17
*C1COC(N)=N1,*O,17
*N1CCc2ccccc2C1,*N1CCCC1,25
*N1CCc2ccccc2C1,*N1CCCC1,25
*c1ccc(N2CCOCC2)cc1,*c1ccc(OC)cc1,13
*c1ccc(N2CCOCC2)cc1,*c1ccc(OC)cc1,13
*C1=NCCN1,*Cl,24
*C1=NCCN1,*Cl,24
*NCCCO,*NCCO,29
*C(=O)C(F)(F)F,*C(C)=O,18
*C(=O)C(F)(F)F,*C(C)=O,18
*C1CCCN1,*CN,14
*C1CCCN1,*CN,14
*c1ccc2ncccc2c1,*c1ccc2ccccc2c1,26
*c1ccc2ncccc2c1,*c1ccc2ccccc2c1,26
*SC(F)(F)F,*F,23
*SC(F)(F)F,*F,23
*CCNC(C)=O,*O,17
*CCNC(C)=O,*O,17
*N(C)c1ccccc1,*Nc1ccccc1,26
*N(C)c1ccccc1,*Nc1ccccc1,26
*SCc1ccccc1,*OCc1ccccc1,17
*N1CCC(N2CCCC2)CC1,*N1CCN(C)CC1,21
*N1CCC(N2CCCC2)CC1,*N1CCN(C)CC1,21
*c1cccc(CN)c1,*c1cccnc1,11
*c1cccc(CN)c1,*c1cccnc1,11
*c1nccc(C(F)(F)F)n1,*c1ccnc(C(F)(F)F)n1,13
*Cc1cccc(OC)c1,*Cc1ccccc1,77
*Cc1cccc(OC)c1,*Cc1ccccc1,77
*C(=O)NCCCC,*C(=O)NCCC,22
*C(C)c1ccccc1,*Cc1ccccc1,53
*C(C)c1ccccc1,*Cc1ccccc1,53
*OCC(F)(F)F,*OC,62
*OCC(F)(F)F,*OC,62
*C1CC1N,*Cl,13
*C1CC1N,*Cl,13
*Nc1ccc(C)cc1,*Nc1ccccc1,38
*Nc1ccc(C)cc1,*Nc1ccccc1,38
*c1ccc[nH]1,*c1ccco1,31
*c1ccc[nH]1,*c1ccco1,31
*c1cccc(OC(F)(F)F)c1,*c1cccc(C(F)(F)F)c1,44
*c1cc(OC)cc(OC)c1,*c1ccc(OC)cc1,24
*c1cc(OC)cc(OC)c1,*c1ccc(OC)cc1,24
*CN(C)Cc1ccccc1,*OC,21
*CN(C)Cc1ccccc1,*OC,21
*CNc1ccccc1,*CN(C)c1ccccc1,12
*Cc1ccc2ccccc2c1,*Cc1ccccc1,65
*Cc1ccc2ccccc2c1,*Cc1ccccc1,65
*c1ccc2cc[nH]c2c1,*c1ccc2[nH]ccc2c1,21
*c1ccc2cc[nH]c2c1,*c1ccc2[nH]ccc2c1,21
*C1CCCO1,*C1CC1,39
*C1CCCO1,*C1CC1,39
*C=CC(=O)O,*CCC(=O)O,32
*C=CC(=O)O,*CCC(=O)O,32
*CNCCO,*CO,11
*CNCCO,*CO,11
*C(=O)c1ccc(C)cc1,*C(=O)c1ccccc1,35
*C(=O)c1ccc(C)cc1,*C(=O)c1ccccc1,35
*Cc1c(C)n[nH]c1C(=O)O,*O,15
*Cc1c(C)n[nH]c1C(=O)O,*O,15
*CNCC,*CN(C)C,25
*CNCC,*CN(C)C,25
*c1ccccc1C#N,*c1cccc(OC)c1,30
*c1ccccc1C#N,*c1cccc(OC)c1,30
*c1cc(Cl)cc(Cl)c1,*c1cccc(Cl)c1,46
*CCl,*O,18
*CCl,*O,18
*c1cnc(N)nc1,*c1ccc(N)nc1,21
*NC(=O)CCC,*NC(C)=O,39
*NC(=O)CCC,*NC(C)=O,39
*S(=O)(=O)c1ccc(Cl)cc1,*S(=O)(=O)c1ccccc1,31
*C(F)F,*C(F)(F)F,65
*C(F)F,*C(F)(F)F,65
*OCCCN1CCCC1,*OCCCN1CCCCC1,31
*c1cncs1,*c1cccnc1,40
*c1cncs1,*c1cccnc1,40
*C1CC1c1ccccc1,*CCc1ccccc1,11
*C1CC1c1ccccc1,*CCc1ccccc1,11
